0,1,2,3,4,5
Experiment,Mean Jaccard,Mean Precision,Mean Recall,Mean F1,Number Samples
explanation_prompt_multilabel_unranked_up_to_2,0.9175213675213676,0.9175213675213676,0.9358974358974359,0.9235042735042734,390
auto_prompt_output,0.8948717948717949,0.8948717948717949,0.8948717948717949,0.8948717948717949,390
basic_prompt_single_label,0.8948717948717949,0.8948717948717949,0.8948717948717949,0.8948717948717949,390
example_prompt_multilabel_unranked_up_to_2,0.8782051282051282,0.8782051282051282,0.8871794871794871,0.8811965811965811,390
basic_prompt_multilabel_unranked_up_to_2,0.8764957264957266,0.8764957264957266,0.9,0.8841880341880342,390
basic_prompt_multilabel_no_constrictions_unranked,0.8752136752136753,0.8752136752136753,0.8948717948717949,0.8816239316239316,390
example_prompt_generation_up_to_2,0.8252991452991453,0.8252991452991453,0.8794871794871795,0.8423076923076923,390
basic_prompt_generation_no_constrictions,0.8070512820512821,0.8070512820512821,0.8564102564102564,0.8223931623931623,390
basic_prompt_generation_up_to_2,0.8064957264957264,0.8064957264957264,0.8641025641025641,0.8243589743589743,390
explanation_prompt_generation_up_to_2,0.7932478632478632,0.7932478632478632,0.8641025641025641,0.8158119658119657,390
